Date,Asset,Calibration Date,Damage,Usage
3/13/2017,234-35-7580,9/21/2017,,7/14/2017
1/25/2017,434-82-8950,9/4/2017,,9/1/2016
12/7/2016,281-97-3510,10/16/2017,,10/16/2016
11/24/2016,816-46-1195,7/16/2018,,3/27/2017
3/8/2017,884-48-6050,7/12/2018,,6/10/2017
3/21/2017,447-86-2396,7/14/2018,11/15/2016,6/6/2017
12/10/2016,343-31-9237,8/5/2018,,9/4/2016
8/4/2017,260-63-2063,6/5/2018,,4/6/2017
6/19/2017,255-39-1981,10/28/2017,,11/24/2016
2/24/2017,365-81-6258,3/29/2018,,9/11/2016
5/20/2017,551-31-0089,6/9/2018,,11/1/2016
2/21/2017,725-32-5141,2/24/2018,,10/19/2016
6/21/2017,693-78-6214,11/8/2017,,8/24/2016
10/9/2016,460-11-0905,5/20/2018,,3/27/2017
10/24/2016,685-79-9940,7/23/2017,,8/15/2017
8/11/2017,583-31-3437,12/20/2017,,1/8/2017
12/18/2016,633-11-1057,10/4/2017,,11/3/2016
11/7/2016,236-92-9412,3/20/2018,,12/9/2016
5/23/2017,525-93-8332,9/3/2017,10/21/2016,2/24/2017
5/18/2017,885-73-8791,11/29/2017,,4/27/2017
7/25/2017,573-78-4713,9/25/2017,,6/22/2017
5/2/2017,618-11-9523,11/29/2017,,2/28/2017
9/18/2016,518-81-5700,12/24/2017,,6/26/2017
6/11/2017,616-46-7199,12/15/2017,,9/15/2016
3/16/2017,611-34-2580,7/18/2017,,12/20/2016
4/24/2017,166-87-0661,6/20/2018,,7/30/2017
4/27/2017,550-50-3564,6/29/2018,,7/7/2017
3/16/2017,138-23-7514,5/12/2018,,5/19/2017
3/5/2017,298-09-9191,4/7/2018,,3/11/2017
4/1/2017,151-76-5110,7/18/2017,,9/7/2016
10/24/2016,456-38-6033,8/8/2017,,2/2/2017
5/22/2017,447-71-3342,1/19/2018,,11/13/2016
4/27/2017,762-62-9552,5/15/2018,,5/13/2017
2/1/2017,441-29-9166,6/7/2018,,9/21/2016
12/10/2016,219-20-0196,3/1/2018,,2/5/2017
8/8/2017,829-61-1383,5/18/2018,,11/12/2016
6/2/2017,155-11-5566,4/1/2018,,12/12/2016
10/28/2016,316-05-7012,2/7/2018,,4/26/2017
3/29/2017,689-03-8892,10/15/2017,,5/6/2017
9/11/2016,591-72-1832,6/11/2018,,2/17/2017
3/12/2017,142-27-9888,8/3/2018,,10/29/2016
10/23/2016,303-28-6828,12/28/2017,,4/21/2017
3/16/2017,572-19-1227,7/11/2018,,8/8/2017
4/3/2017,282-60-2640,5/21/2018,,9/1/2016
3/27/2017,289-01-6114,2/20/2018,,2/10/2017
12/13/2016,368-81-8429,7/25/2017,,1/22/2017
12/16/2016,189-75-9622,12/20/2017,,8/14/2017
9/17/2016,856-02-6673,1/24/2018,,4/29/2017
4/18/2017,811-15-9432,6/10/2018,,6/17/2017
9/30/2016,169-11-9014,11/5/2017,,6/2/2017
8/22/2017,439-78-9589,3/16/2018,,9/4/2016
12/10/2016,251-06-3243,8/23/2018,,9/7/2016
3/12/2017,293-17-6962,12/3/2017,,5/23/2017
12/20/2016,789-71-8644,6/29/2018,,7/2/2017
7/15/2017,876-01-8418,7/31/2018,,6/20/2017
4/2/2017,163-45-0403,3/21/2018,,1/10/2017
3/24/2017,842-91-6276,7/31/2018,,6/20/2017
1/3/2017,276-10-6053,3/8/2018,,4/19/2017
6/9/2017,674-29-8659,3/22/2018,,2/6/2017
2/16/2017,825-22-6759,7/11/2018,,7/1/2017
5/13/2017,594-14-1606,6/26/2017,,1/5/2017
6/25/2017,340-44-9511,4/1/2018,,1/28/2017
4/29/2017,757-36-3066,11/11/2017,,5/29/2017
10/15/2016,548-74-0773,2/14/2018,,9/15/2016
10/8/2016,870-63-4358,8/3/2018,,2/9/2017
11/3/2016,515-80-8350,9/22/2017,,6/30/2017
2/10/2017,413-78-0290,9/17/2017,,2/7/2017
5/21/2017,421-48-7060,7/17/2017,4/16/2017,5/31/2017
1/19/2017,753-31-5743,7/13/2017,,10/2/2016
1/28/2017,780-91-0508,12/22/2017,,6/10/2017
8/23/2017,820-24-1293,8/24/2017,,7/30/2017
5/26/2017,844-21-5409,7/2/2017,,2/16/2017
6/20/2017,163-36-0485,2/2/2018,,7/16/2017
2/22/2017,804-73-0435,9/8/2017,,11/6/2016
11/24/2016,634-98-7415,6/24/2017,,1/9/2017
6/25/2017,610-70-1462,12/16/2017,,12/13/2016
1/29/2017,757-77-2183,7/2/2018,,10/16/2016
12/8/2016,366-37-2502,11/5/2017,,6/8/2017
6/30/2017,818-45-8552,9/24/2017,,1/9/2017
12/29/2016,252-65-5051,7/31/2018,,6/8/2017
4/19/2017,452-93-3616,6/30/2018,,9/4/2016
1/16/2017,315-70-1746,5/15/2018,,5/9/2017
10/4/2016,875-09-4831,4/13/2018,,1/22/2017
4/26/2017,330-68-5567,4/14/2018,,3/27/2017
10/5/2016,279-23-5509,12/18/2017,,8/7/2017
9/19/2016,280-33-3940,4/8/2018,,7/3/2017
12/31/2016,852-43-2504,9/21/2017,,1/28/2017
3/19/2017,525-02-1959,4/6/2018,,9/17/2016
3/25/2017,307-70-1583,1/30/2018,,11/3/2016
3/2/2017,101-87-1168,4/14/2018,,3/15/2017
3/8/2017,554-31-9368,4/16/2018,,3/28/2017
5/16/2017,766-32-7935,3/29/2018,,2/9/2017
6/25/2017,509-44-2520,1/2/2018,,9/16/2016
5/8/2017,598-07-3625,4/14/2018,,11/16/2016
3/7/2017,858-09-1993,12/30/2017,,6/11/2017
2/3/2017,601-43-6880,7/5/2018,,2/1/2017
8/25/2016,842-12-4104,5/22/2018,,11/23/2016
11/19/2016,573-89-0385,7/7/2017,,12/5/2016
9/15/2016,518-39-3567,8/15/2018,,4/9/2017
5/29/2017,588-59-1033,3/23/2018,,2/6/2017
3/14/2017,148-46-5564,2/13/2018,,12/18/2016
6/10/2017,780-75-6650,6/12/2018,,9/9/2016
7/27/2017,720-45-2115,1/8/2018,,12/28/2016
6/17/2017,688-76-1152,1/15/2018,,1/13/2017
8/5/2017,384-07-5915,12/19/2017,,10/9/2016
4/20/2017,683-72-0956,2/11/2018,,6/23/2017
1/23/2017,854-08-6192,9/13/2017,,2/6/2017
3/26/2017,767-44-8671,6/18/2018,,5/30/2017
6/13/2017,774-54-4562,1/23/2018,,1/23/2017
10/31/2016,861-26-4933,8/15/2017,,1/28/2017
5/6/2017,814-29-1246,5/3/2018,,7/14/2017
1/12/2017,824-60-4606,11/24/2017,,12/10/2016
8/26/2016,252-82-6122,1/22/2018,,9/13/2016
3/24/2017,557-80-3388,3/20/2018,,1/28/2017
8/30/2016,430-09-5384,6/23/2018,,8/23/2017
11/13/2016,811-59-6747,10/16/2017,,10/9/2016
3/6/2017,526-85-3227,7/18/2017,,11/15/2016
7/5/2017,517-64-3977,1/18/2018,,2/16/2017
8/25/2016,588-61-9772,8/10/2017,,7/23/2017
9/22/2016,746-81-8675,12/30/2017,,4/27/2017
7/22/2017,667-23-7552,8/22/2017,,6/30/2017
11/1/2016,188-63-2352,8/5/2017,,1/12/2017
6/15/2017,458-27-3258,12/30/2017,,6/14/2017
9/16/2016,579-37-8079,5/8/2018,,11/20/2016
11/4/2016,712-70-4235,6/6/2018,,8/8/2017
7/23/2017,802-70-0609,6/27/2017,,6/16/2017
7/30/2017,837-41-5565,8/2/2018,,12/17/2016
8/16/2017,430-28-0857,5/15/2018,,9/26/2016
9/9/2016,856-61-9420,5/24/2018,,12/1/2016
11/9/2016,427-30-4526,11/21/2017,,3/6/2017
1/10/2017,678-04-0797,6/15/2018,4/17/2017,5/29/2017
7/20/2017,839-24-0220,11/24/2017,,9/2/2016
3/4/2017,500-52-5750,6/23/2018,,11/8/2016
5/31/2017,199-43-2646,7/12/2018,,10/14/2016
4/5/2017,524-84-1514,1/4/2018,,6/25/2017
5/8/2017,297-89-7641,6/29/2018,,3/10/2017
2/20/2017,728-47-3931,7/26/2017,,6/24/2017
1/31/2017,337-29-9129,8/22/2017,,6/26/2017
8/15/2017,262-60-3566,11/16/2017,,5/13/2017
1/27/2017,134-21-8662,5/24/2018,,4/6/2017
6/23/2017,421-18-7290,5/15/2018,,1/24/2017
8/20/2017,340-78-0919,8/15/2018,,7/21/2017
12/12/2016,536-04-4670,8/13/2018,,1/26/2017
4/13/2017,807-94-5632,5/30/2018,,10/25/2016
2/13/2017,439-17-3109,7/5/2018,,10/29/2016
1/7/2017,588-85-5003,11/8/2017,,8/25/2016
4/7/2017,787-23-7871,5/14/2018,,7/10/2017
9/28/2016,229-21-0593,9/29/2017,,7/27/2017
9/11/2016,210-01-9348,11/22/2017,,10/7/2016
12/17/2016,257-34-5562,10/10/2017,,11/1/2016
10/6/2016,801-22-4447,2/14/2018,,1/14/2017
4/26/2017,137-13-1079,8/12/2018,,10/4/2016
3/1/2017,369-55-6441,8/14/2017,,9/26/2016
5/26/2017,297-73-4230,7/23/2018,,9/4/2016
4/14/2017,897-43-6306,8/5/2017,,4/22/2017
5/12/2017,201-74-7402,9/20/2017,,6/24/2017
6/19/2017,552-25-4337,5/3/2018,,12/16/2016
7/2/2017,376-43-1557,1/8/2018,,7/4/2017
2/10/2017,674-21-4064,1/28/2018,,3/13/2017
8/21/2017,143-51-8841,3/5/2018,,9/19/2016
7/9/2017,596-58-3359,11/7/2017,,5/4/2017
2/12/2017,468-67-8764,6/29/2018,,5/30/2017
2/18/2017,832-12-4034,3/27/2018,,8/4/2017
12/7/2016,625-77-1321,7/31/2018,,5/25/2017
10/26/2016,549-10-2910,10/26/2017,,9/12/2016
1/21/2017,122-78-4759,7/10/2017,,6/13/2017
12/18/2016,797-71-6190,7/2/2017,,2/14/2017
2/18/2017,784-19-7218,4/19/2018,,10/2/2016
6/1/2017,361-86-9841,9/28/2017,,3/10/2017
6/20/2017,798-50-4841,7/13/2018,,8/7/2017
6/6/2017,679-19-3770,3/2/2018,,9/29/2016
2/3/2017,894-50-8423,4/8/2018,,7/5/2017
3/10/2017,825-24-2921,11/14/2017,,6/20/2017
7/30/2017,880-44-5164,11/12/2017,,7/19/2017
3/26/2017,884-75-6202,8/10/2018,,6/15/2017
10/9/2016,169-25-2331,3/8/2018,,2/27/2017
7/1/2017,398-03-6670,8/31/2017,,7/9/2017
7/11/2017,809-28-1710,1/20/2018,,3/9/2017
2/14/2017,781-27-4444,1/5/2018,,6/24/2017
2/26/2017,757-66-3173,7/26/2017,,2/1/2017
4/5/2017,857-17-0369,7/18/2017,,10/19/2016
12/12/2016,896-81-0181,7/24/2017,,4/3/2017
6/27/2017,244-84-6755,8/24/2017,,4/30/2017
6/20/2017,876-15-0105,6/19/2018,,4/24/2017
11/30/2016,540-96-7619,6/15/2018,,8/8/2017
12/26/2016,535-18-2004,8/9/2018,,9/8/2016
3/4/2017,808-44-9282,11/23/2017,,9/24/2016
6/6/2017,268-56-0954,6/24/2018,,10/23/2016
7/30/2017,146-05-1501,10/9/2017,,3/21/2017
8/25/2016,773-11-5494,10/31/2017,,11/6/2016
1/7/2017,462-15-5363,1/29/2018,,6/10/2017
3/10/2017,409-80-6438,8/6/2018,,12/30/2016
3/17/2017,681-41-7304,2/4/2018,,8/7/2017
4/2/2017,246-29-3023,7/28/2018,,10/29/2016
9/9/2016,689-48-7135,9/18/2017,,5/12/2017
6/12/2017,548-37-9594,7/6/2017,,6/11/2017
4/2/2017,218-65-0528,7/11/2018,,6/5/2017
1/22/2017,466-74-3531,7/31/2017,,5/6/2017
5/19/2017,712-69-3349,2/21/2018,,11/16/2016
6/8/2017,356-63-0665,9/15/2017,,1/23/2017
11/6/2016,416-73-1159,12/30/2017,,3/13/2017
1/13/2017,280-56-1324,3/31/2018,,4/21/2017
8/1/2017,882-11-3452,5/15/2018,,4/27/2017
11/15/2016,133-98-5714,8/14/2018,,11/23/2016
7/23/2017,111-10-0535,2/12/2018,,7/20/2017
3/2/2017,899-62-6654,10/5/2017,,4/1/2017
3/16/2017,460-43-3255,8/22/2018,,1/29/2017
7/25/2017,560-12-7922,1/28/2018,,12/26/2016
6/15/2017,359-17-9676,3/27/2018,,3/4/2017
9/22/2016,230-30-9818,4/19/2018,,5/24/2017
9/12/2016,741-08-7878,6/14/2018,,6/27/2017
10/18/2016,743-21-7214,7/4/2017,,11/18/2016
11/29/2016,438-50-4112,10/3/2017,,8/28/2016
9/27/2016,281-75-3595,12/8/2017,,11/28/2016
5/7/2017,468-97-7457,2/6/2018,,2/21/2017
3/25/2017,836-14-6519,3/1/2018,,5/15/2017
12/31/2016,531-95-0862,10/19/2017,,4/20/2017
9/30/2016,428-20-8618,9/5/2017,,10/28/2016
7/22/2017,273-81-8691,7/1/2017,,6/18/2017
2/12/2017,277-93-4515,10/6/2017,,7/10/2017
3/12/2017,764-59-6926,1/22/2018,,9/22/2016
3/5/2017,257-61-4610,7/27/2018,,11/7/2016
1/4/2017,257-57-4127,1/14/2018,,6/11/2017
3/5/2017,117-10-1221,9/15/2017,,6/22/2017
8/22/2017,532-16-7869,2/23/2018,,12/28/2016
8/11/2017,533-01-1918,8/12/2018,,9/17/2016
1/14/2017,733-19-3455,5/7/2018,,2/5/2017
7/11/2017,620-74-1881,6/30/2017,,7/28/2017
5/10/2017,443-48-0577,12/20/2017,,1/19/2017
2/10/2017,598-36-3633,12/7/2017,,5/20/2017
12/2/2016,196-46-8756,9/6/2017,,9/14/2016
1/15/2017,322-80-4855,4/25/2018,,5/22/2017
3/29/2017,237-35-9549,3/19/2018,,3/15/2017
5/25/2017,527-13-3754,10/23/2017,,11/16/2016
9/15/2016,461-16-6194,7/24/2017,,2/17/2017
12/14/2016,584-45-1589,10/3/2017,3/20/2017,11/19/2016
5/26/2017,332-76-5997,8/17/2017,,6/21/2017
6/4/2017,325-75-6578,4/22/2018,,10/11/2016
12/3/2016,687-47-1076,3/6/2018,,8/17/2017
7/1/2017,628-35-7939,6/24/2018,,6/22/2017
7/11/2017,279-93-7768,7/22/2018,,5/11/2017
1/30/2017,702-05-7091,8/20/2018,,1/24/2017
6/24/2017,755-67-6456,5/11/2018,,5/30/2017
9/20/2016,285-81-1384,8/30/2017,,12/1/2016
6/10/2017,127-68-2936,12/29/2017,,1/27/2017
6/10/2017,660-81-6515,10/18/2017,,9/13/2016
12/26/2016,868-20-0592,7/24/2017,,1/30/2017
9/11/2016,640-66-3686,9/29/2017,,9/14/2016
7/27/2017,799-79-1858,3/15/2018,,12/31/2016
4/29/2017,233-76-4046,9/28/2017,,9/12/2016
12/2/2016,141-97-4376,3/22/2018,,9/10/2016
10/3/2016,225-49-3249,1/18/2018,,10/24/2016
11/25/2016,621-15-2096,8/4/2018,,4/20/2017
3/3/2017,222-50-1942,7/1/2018,,12/16/2016
1/7/2017,249-90-9615,9/5/2017,,11/25/2016
6/10/2017,543-82-5026,12/9/2017,,1/10/2017
7/10/2017,744-85-7412,3/20/2018,,12/9/2016
8/8/2017,632-22-0458,1/17/2018,,8/28/2016
12/8/2016,194-72-5190,6/2/2018,,10/27/2016
10/17/2016,784-81-1275,10/20/2017,,2/17/2017
1/25/2017,798-67-1482,11/23/2017,,2/25/2017
11/8/2016,742-65-0091,8/19/2018,,10/23/2016
11/22/2016,862-97-5312,8/1/2018,,10/17/2016
8/23/2017,520-67-7508,2/10/2018,,3/6/2017
2/23/2017,580-14-7847,12/24/2017,,4/26/2017
4/27/2017,682-54-3591,6/6/2018,,11/22/2016
2/8/2017,825-43-9182,11/5/2017,,6/20/2017
10/5/2016,435-33-3579,11/7/2017,,2/8/2017
8/14/2017,609-36-6315,8/27/2017,,9/13/2016
6/17/2017,178-65-0520,7/13/2017,,11/22/2016
5/17/2017,496-45-6809,5/12/2018,,1/24/2017
11/3/2016,349-25-2545,6/9/2018,,2/9/2017
8/16/2017,557-03-0726,4/30/2018,,11/13/2016
3/27/2017,113-58-2156,4/9/2018,,1/7/2017
11/7/2016,568-77-7362,8/15/2017,,10/18/2016
6/21/2017,491-96-4160,5/24/2018,,10/16/2016
6/3/2017,553-60-9131,1/16/2018,,2/22/2017
12/2/2016,289-97-7372,5/24/2018,2/19/2017,9/2/2016
7/6/2017,549-16-2991,8/3/2018,,11/21/2016
5/3/2017,501-67-2923,10/6/2017,,12/13/2016
4/13/2017,403-99-5890,12/1/2017,,5/27/2017
1/20/2017,454-06-7361,7/16/2017,,5/15/2017
2/11/2017,603-80-9220,2/15/2018,,3/31/2017
1/3/2017,517-60-1235,9/29/2017,,9/18/2016
3/24/2017,415-87-5137,7/27/2017,,11/22/2016
9/13/2016,803-87-4506,12/13/2017,,4/7/2017
10/22/2016,613-96-8729,11/3/2017,,4/11/2017
12/30/2016,445-60-3251,12/25/2017,,10/27/2016
7/12/2017,769-68-6951,12/30/2017,,3/19/2017
9/28/2016,445-89-6306,2/25/2018,,9/19/2016
10/25/2016,137-97-6437,5/13/2018,,1/5/2017
7/7/2017,632-29-6037,6/27/2017,,8/8/2017
11/13/2016,470-53-2246,7/16/2017,,9/1/2016
2/22/2017,291-44-9232,12/5/2017,,9/23/2016
9/14/2016,109-53-8535,10/28/2017,,2/6/2017
1/25/2017,392-56-9733,11/27/2017,,8/8/2017
2/20/2017,718-93-2588,5/30/2018,,10/11/2016
2/12/2017,486-43-0398,7/6/2018,,7/1/2017
10/30/2016,137-61-2912,3/8/2018,,7/7/2017
10/20/2016,826-74-8891,8/17/2018,,2/12/2017
4/2/2017,563-81-5684,7/6/2017,,10/25/2016
8/27/2016,804-46-9447,3/24/2018,,2/25/2017
5/31/2017,412-79-0027,4/13/2018,,8/11/2017
1/25/2017,632-48-1689,6/20/2018,,4/12/2017
3/31/2017,315-23-7987,12/19/2017,,10/14/2016
12/15/2016,143-98-1893,7/30/2017,,11/24/2016
2/6/2017,186-17-2611,11/7/2017,,12/17/2016
3/8/2017,653-26-7867,12/8/2017,,9/18/2016
9/7/2016,431-91-8860,4/24/2018,,2/14/2017
10/13/2016,210-09-8339,12/21/2017,,8/18/2017
3/6/2017,351-30-3595,7/10/2018,,10/26/2016
7/18/2017,285-42-6091,12/4/2017,,8/22/2017
2/23/2017,253-38-6736,2/3/2018,,11/22/2016
1/18/2017,138-17-2387,7/13/2017,,6/11/2017
4/2/2017,477-33-2041,1/18/2018,,5/23/2017
3/11/2017,327-28-8996,7/3/2017,,2/6/2017
11/1/2016,688-76-2326,8/14/2018,,8/30/2016
12/20/2016,278-20-7512,4/12/2018,,7/3/2017
3/27/2017,403-91-6171,8/9/2018,,4/19/2017
8/25/2016,755-16-4742,4/1/2018,,4/12/2017
1/5/2017,593-56-7411,7/25/2018,,4/17/2017
8/23/2017,870-20-1756,5/20/2018,,5/23/2017
1/3/2017,786-95-0448,12/26/2017,,12/9/2016
4/28/2017,406-57-5733,10/30/2017,,8/28/2016
4/23/2017,452-88-0066,11/22/2017,,1/3/2017
3/21/2017,721-25-7076,7/27/2018,,7/19/2017
10/25/2016,304-54-8307,5/29/2018,,1/29/2017
11/8/2016,440-32-6310,6/25/2018,,1/29/2017
12/12/2016,603-61-7847,7/31/2018,,6/16/2017
5/18/2017,614-70-3869,9/30/2017,,1/30/2017
10/10/2016,600-08-6879,8/26/2017,,8/10/2017
1/31/2017,508-37-8650,7/6/2017,,6/6/2017
4/12/2017,446-58-5888,3/18/2018,,9/9/2016
4/29/2017,130-80-1835,11/28/2017,,10/9/2016
5/31/2017,164-27-6824,2/26/2018,,1/4/2017
5/18/2017,608-57-8718,12/5/2017,,6/3/2017
12/17/2016,672-48-9176,5/28/2018,,7/3/2017
1/5/2017,249-02-9175,5/5/2018,,7/25/2017
10/9/2016,731-86-0988,9/1/2017,,9/4/2016
7/10/2017,490-93-1434,11/13/2017,,6/6/2017
12/4/2016,799-68-0853,11/12/2017,,8/19/2017
3/29/2017,208-76-4872,8/26/2017,,4/6/2017
10/17/2016,669-35-8086,1/11/2018,,5/19/2017
11/22/2016,227-77-6622,7/23/2018,,2/10/2017
5/23/2017,662-07-0565,6/30/2018,,12/15/2016
11/20/2016,879-38-5501,7/28/2018,,4/3/2017
5/30/2017,829-56-5493,7/16/2017,,1/21/2017
8/25/2016,692-88-8199,7/14/2018,,5/28/2017
1/5/2017,891-50-9545,11/10/2017,,2/4/2017
1/7/2017,439-93-2698,7/16/2018,,2/24/2017
12/6/2016,147-60-7021,12/21/2017,,7/8/2017
9/29/2016,455-59-6267,10/25/2017,,9/21/2016
11/4/2016,701-27-0986,6/25/2018,,3/9/2017
2/12/2017,667-06-7805,9/11/2017,,12/31/2016
12/12/2016,317-87-2193,8/5/2018,,4/18/2017
10/7/2016,375-17-3485,5/23/2018,,6/28/2017
5/22/2017,223-57-7858,3/13/2018,,3/2/2017
1/18/2017,117-03-3935,9/3/2017,,9/11/2016
8/9/2017,856-10-9467,9/28/2017,,2/11/2017
8/10/2017,592-51-9516,2/21/2018,,1/18/2017
9/13/2016,544-23-8551,12/23/2017,,9/26/2016
5/14/2017,360-60-7382,9/23/2017,,1/13/2017
2/9/2017,304-71-8813,4/2/2018,,4/25/2017
6/16/2017,704-08-4648,8/21/2018,,5/8/2017
7/18/2017,111-38-9979,10/26/2017,,10/7/2016
1/2/2017,794-54-5519,10/5/2017,,2/8/2017
11/22/2016,366-74-6687,2/27/2018,,2/12/2017
5/6/2017,820-57-4814,7/12/2017,,8/10/2017
12/9/2016,783-21-8917,12/24/2017,1/6/2017,6/11/2017
6/13/2017,746-23-3691,3/1/2018,,6/2/2017
1/31/2017,245-11-8667,2/16/2018,,2/2/2017
4/5/2017,292-52-7519,9/9/2017,,10/25/2016
3/23/2017,176-18-6397,11/24/2017,,9/27/2016
3/2/2017,403-44-0008,2/23/2018,,3/20/2017
3/24/2017,393-26-0255,8/13/2018,,11/28/2016
10/13/2016,127-03-1760,7/16/2018,,12/4/2016
8/26/2016,526-97-7924,11/12/2017,5/3/2017,5/11/2017
8/24/2016,438-30-8836,10/28/2017,,8/31/2016
9/16/2016,263-29-1898,6/29/2018,,11/8/2016
1/13/2017,280-77-2946,1/13/2018,,12/11/2016
6/15/2017,776-07-5205,12/25/2017,,4/9/2017
8/6/2017,853-81-0102,8/25/2017,,9/5/2016
4/27/2017,491-68-9231,4/2/2018,,7/23/2017
6/25/2017,540-80-6352,6/26/2018,,7/12/2017
10/23/2016,875-74-9209,6/16/2018,,2/7/2017
8/1/2017,520-26-0499,5/9/2018,,2/1/2017
6/26/2017,451-92-3259,10/29/2017,,6/27/2017
7/29/2017,217-30-4807,2/1/2018,,8/21/2017
1/18/2017,365-96-5455,7/1/2018,,8/25/2016
7/7/2017,113-50-8406,12/14/2017,,1/22/2017
1/9/2017,138-60-8649,7/7/2018,,1/19/2017
8/2/2017,393-61-5725,1/30/2018,,12/3/2016
8/4/2017,455-02-6967,3/17/2018,,3/9/2017
9/28/2016,452-75-6986,7/31/2017,,12/9/2016
8/21/2017,454-74-8239,6/20/2018,,8/8/2017
10/12/2016,121-45-2592,2/12/2018,,1/18/2017
6/14/2017,659-91-3251,1/14/2018,,8/21/2017
9/15/2016,620-31-4292,7/13/2018,,3/23/2017
11/4/2016,842-70-0360,4/25/2018,,7/4/2017
1/5/2017,430-40-5344,4/9/2018,,12/21/2016
4/14/2017,579-13-3176,2/25/2018,,12/1/2016
11/4/2016,443-65-7423,7/3/2017,,5/9/2017
10/6/2016,595-50-9674,6/20/2018,,8/23/2017
6/1/2017,226-80-9689,10/26/2017,,10/7/2016
3/13/2017,890-17-5313,12/9/2017,,2/25/2017
5/17/2017,404-74-0338,5/27/2018,,2/26/2017
2/9/2017,502-97-0161,9/4/2017,,9/12/2016
8/31/2016,735-75-1157,6/8/2018,,12/23/2016
1/16/2017,518-20-1304,4/5/2018,,4/29/2017
8/14/2017,363-20-3137,7/17/2017,,5/29/2017
11/27/2016,611-72-0846,7/26/2018,,6/9/2017
7/9/2017,577-44-0284,1/23/2018,,1/31/2017
12/18/2016,257-60-6058,9/11/2017,,12/28/2016
7/29/2017,786-42-7652,3/13/2018,,8/17/2017
7/9/2017,348-67-3517,8/1/2018,,5/9/2017
1/3/2017,225-53-3247,6/14/2018,,7/17/2017
7/28/2017,816-62-9704,12/3/2017,,11/27/2016
11/16/2016,488-91-3667,8/8/2017,,10/13/2016
2/13/2017,408-07-4482,7/29/2017,,12/15/2016
3/7/2017,857-24-7139,10/19/2017,,3/18/2017
2/28/2017,508-62-4260,2/16/2018,,3/31/2017
5/30/2017,774-12-1410,9/5/2017,,6/6/2017
3/8/2017,876-55-1547,8/20/2018,,5/3/2017
3/28/2017,377-63-9115,8/16/2017,,12/3/2016
9/17/2016,112-58-9797,6/24/2018,,10/22/2016
4/25/2017,495-40-8410,1/2/2018,,2/15/2017
11/26/2016,122-60-9385,6/13/2018,,7/29/2017
8/7/2017,626-22-6520,2/3/2018,,1/25/2017
1/11/2017,436-08-2964,4/25/2018,,5/11/2017
7/5/2017,298-89-1848,1/20/2018,,12/20/2016
5/3/2017,248-20-5919,11/2/2017,,2/6/2017
10/20/2016,331-53-1394,7/31/2018,,8/19/2017
12/17/2016,767-66-1428,11/15/2017,,11/2/2016
4/29/2017,282-27-4744,7/4/2018,8/22/2017,7/3/2017
9/12/2016,855-50-1970,2/7/2018,,11/7/2016
10/21/2016,542-96-0550,3/9/2018,,1/4/2017
12/17/2016,403-55-9353,7/22/2018,,6/14/2017
11/28/2016,849-63-5823,7/2/2018,,12/15/2016
9/4/2016,877-97-9155,1/5/2018,,2/1/2017
4/27/2017,650-30-2616,4/12/2018,,10/30/2016
8/4/2017,724-09-3214,11/14/2017,,3/15/2017
8/14/2017,792-02-2319,1/5/2018,,5/12/2017
4/20/2017,754-12-8904,6/28/2018,,12/27/2016
4/3/2017,754-36-6930,7/18/2017,,4/1/2017
4/11/2017,372-72-9191,4/1/2018,,8/2/2017
12/13/2016,697-79-7486,2/19/2018,,11/29/2016
4/11/2017,458-07-4061,4/1/2018,,2/24/2017
7/20/2017,881-55-6209,1/18/2018,,3/10/2017
11/21/2016,319-45-2334,10/5/2017,,8/18/2017
2/13/2017,262-56-7454,4/7/2018,,6/14/2017
1/23/2017,303-39-7957,2/7/2018,,1/2/2017
1/10/2017,267-26-9279,7/5/2018,,6/15/2017
10/20/2016,427-56-8138,9/16/2017,,10/5/2016
7/10/2017,646-66-9732,4/26/2018,,11/1/2016
9/27/2016,559-39-2427,6/22/2018,,7/14/2017
1/30/2017,780-55-1664,7/26/2017,,9/21/2016
8/5/2017,736-02-7734,8/5/2017,,3/28/2017
12/20/2016,371-34-7828,6/12/2018,,12/2/2016
6/20/2017,161-49-3935,1/14/2018,,6/7/2017
12/11/2016,431-15-9754,8/29/2017,,7/26/2017
9/25/2016,669-59-1959,6/11/2018,9/5/2016,2/8/2017
3/24/2017,522-76-1541,6/16/2018,,8/29/2016
8/9/2017,174-19-1788,7/29/2018,,12/2/2016
12/31/2016,852-19-6516,9/28/2017,,3/30/2017
5/16/2017,887-55-9569,5/17/2018,,8/31/2016
4/20/2017,703-58-6365,1/27/2018,,5/9/2017
8/23/2017,487-29-0667,6/15/2018,,3/21/2017
11/17/2016,259-90-9314,12/5/2017,,7/2/2017
9/29/2016,652-48-6943,1/4/2018,,1/24/2017
3/28/2017,541-95-2952,9/14/2017,,5/1/2017
6/9/2017,104-59-6361,9/25/2017,,9/11/2016
3/2/2017,854-50-3505,10/7/2017,,12/23/2016
1/29/2017,812-01-0494,5/4/2018,,7/27/2017
8/12/2017,639-79-2981,3/10/2018,,6/5/2017
11/24/2016,851-41-1028,7/1/2017,,5/9/2017
11/25/2016,764-45-7861,4/18/2018,,12/9/2016
5/13/2017,875-82-6463,7/28/2017,,6/14/2017
7/13/2017,242-67-9634,6/27/2017,,8/8/2017
8/10/2017,104-32-9187,11/15/2017,,7/17/2017
